	tst_days	expert	naive_mean	naive_max	naive_min	actual_values
0	153	1.6482	1.8042	6.4077	1	2.5378
1	154	1.4987	1.8042	6.4077	1	6.2434
2	155	1.6523	1.8042	6.4077	1	1.2793
3	156	1.4419	1.8042	6.4077	1	1.0097
4	157	1.4085	1.8042	6.4077	1	1.0167
5	158	1.4055	1.8042	6.4077	1	1.0126
6	159	1.4050	1.8042	6.4077	1	1.0003
7	160	1.4044	1.8042	6.4077	1	2.1193
8	161	1.4553	1.8042	6.4077	1	1.2676
9	162	1.4216	1.8042	6.4077	1	1.9213
10	163	1.4480	1.8042	6.4077	1	1.0610
11	164	1.4115	1.8042	6.4077	1	1.0796
12	165	1.4087	1.8042	6.4077	1	1.2203
13	166	1.4148	1.8042	6.4077	1	1.0278
14	167	1.4067	1.8042	6.4077	1	1.8697
15	168	1.4441	1.8042	6.4077	1	1.0445
16	169	1.4104	1.8042	6.4077	1	5.3293
17	170	1.6019	1.8042	6.4077	1	5.7582
18	171	1.6406	1.8042	6.4077	1	1.5893
19	172	1.4548	1.8042	6.4077	1	1.8125
20	173	1.4464	1.8042	6.4077	1	7.2724
21	174	1.6939	1.8042	6.4077	1	1.0943
22	175	1.4376	1.8042	6.4077	1	1.0018
23	176	1.4078	1.8042	6.4077	1	1.0459
24	177	1.4068	1.8042	6.4077	1	2.5853
25	178	1.4767	1.8042	6.4077	1	1.0865
26	179	1.4155	1.8042	6.4077	1	1.4225
27	180	1.4247	1.8042	6.4077	1	1.0955
28	181	1.4107	1.8042	6.4077	1	2.4622
29	182	1.4715	1.8042	6.4077	1	1.1019
